annotation_id,text_id,span_start_char,span_end_char,span_text,is_fallacious (TRUE/FALSE),fallacy_level1,fallacy_level2,fallacy_level3,disjunctive_set_id,annotator_id,annotator_role,confidence_score (0..1),explanation_rationale,popper_falsifiability_flag,argyris_learning_mode,wittgenstein_language_game,authority_laundering_flag (TRUE/FALSE),authority_laundering_type,annotation_timestamp,quality_control_status
AN_0011,SEC_B04E,0,0,Full text,False,,,,,EE_AUTO,engine,0.82,No fallacious span. Strategic-consolidation framing; narrative steering present but grounded in observable portfolio shifts.,falsifiable,open-loop,editorial advocacy,False,,2026-03-17T14:00:00Z,reviewed
AN_0012,SEC_B08,0,0,Full text,False,,,,,EE_AUTO,engine,0.88,No fallacious span. Bureaucratic masking via compensation-committee and governance vocabulary. Standard proxy register.,falsifiable,defensive-routine,corporate risk disclosure,True,bureaucratic_masking,2026-03-17T14:00:00Z,reviewed
AN_0013,SEC_B08E,0,0,Full text,False,,,,,EE_AUTO,engine,0.8,No fallacious span. Power-and-scale narrative; disruption-leaning but claims are empirically grounded.,falsifiable,open-loop,editorial advocacy,False,,2026-03-17T14:00:00Z,reviewed
AN_0014,SEC_B10,0,0,Full text,False,,,,,EE_AUTO,engine,0.9,No fallacious span. Highest bureaucratic masking in corpus — institutional cybersecurity anchoring via formal reporting mechanisms.,falsifiable,defensive-routine,corporate risk disclosure,True,bureaucratic_masking,2026-03-17T14:00:00Z,reviewed
AN_0015,SEC_B10E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,No fallacious span. Regulatory-translation narrative. Head-coded with mild disruption lean as new rules reshape compliance practices.,falsifiable,open-loop,editorial advocacy,False,,2026-03-17T14:00:00Z,reviewed
AN_0016,SYN_01,0,222,Full text,False,,,,,EE_SYNTH,engine,0.95,Evasion gate test. 6 evasion cues detected. No fallacious span annotated — text is structurally evasive but not fallacious in the classical sense.,immunizing_stratagem,open-loop,policy defense,False,,2026-03-17T16:00:00Z,gold
AN_0017,SYN_02,0,259,Full text,True,Logos,False Dilemma,Binary Framing,DS_0004,EE_SYNTH,engine,0.88,Ideological gate test. Construes compliance as the only option (false dilemma) via normative pressure + unfalsifiable framing.,immunizing_stratagem,defensive-routine,policy defense,True,bureaucratic_masking,2026-03-17T16:00:00Z,gold
AN_0018,SYN_03,0,189,Full text,True,Pathos,Appeal to Emotion,Moral Blackmail,DS_0005,EE_SYNTH,engine,0.92,Moral framing gate test. Dense virtue/vice vocabulary replaces structural argument with moral condemnation.,immunizing_stratagem,defensive-routine,polemic,False,,2026-03-17T16:00:00Z,gold
AN_0019,SYN_04,0,308,Full text,False,,,,,EE_SYNTH,engine,0.9,"Clean classification with bureaucratic masking. Standard SEC compliance register. No fallacious moves — laundering is structural, not argumentative.",falsifiable,defensive-routine,corporate risk disclosure,True,bureaucratic_masking,2026-03-17T16:00:00Z,gold
AN_0020,SYN_05,0,244,Full text,False,,,,,EE_SYNTH,engine,0.95,"True open-loop baseline. Clean, no laundering, factual reporting. This is what fully transparent discourse looks like under the engine's framework.",falsifiable,open-loop,editorial advocacy,False,,2026-03-17T16:00:00Z,gold
AN_0021,SYN_06,0,329,Full text,False,,,,,EE_SYNTH,engine,0.85,Triple laundering test. All three authority-shielding flags fire simultaneously. Clean classification — no bias gate triggers — but the discourse is structurally shielded.,falsifiable,defensive-routine,scientific justification,True,scientism; bureaucratic_masking; identity_laundering,2026-03-17T16:00:00Z,gold
AN_0022,BLS_B01,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.08, I=0.06.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0023,BLS_B01E,0,0,Full text,False,N/A,N/A,N/A,,EE_AUTO,engine,0.85,"CORRECTED 2026-03-25: Gemini re-run resolved surface-token triggering. Reclassified from evasion to clean. Gemini(baseline)=evasion; GPT=clean. INTER-MODEL DIVERGENCE. Gemini: X=3.0, Y=-3.5, I=4.6. GPT: X=-0.13, Y=0.0, I=0.09.",falsifiable_claim_structure,open_loop_reasoning,editorial advocacy / policy defense,False,,2026-03-21T00:00:00Z,reviewed
AN_0024,BLS_B02,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.22, I=0.16.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0025,BLS_B02E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=1.0, Y=1.0, I=1.0. GPT: X=0.0, Y=0.54, I=0.38.",falsifiable,open-loop,institutional discourse / editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0026,BLS_B03,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.0, I=0.0.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0027,BLS_B03E,0,0,Full text,True,Logos,Selective Emphasis,Narrative Steering,,EE_AUTO,engine,0.85,"Gemini(baseline)=moral_framing; GPT=clean. INTER-MODEL DIVERGENCE. Gemini: X=3.5, Y=-4.0, I=5.3. GPT: X=-0.18, Y=0.18, I=0.18.",immunizing_stratagem,defensive-routine,scientific justification / editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0028,BLS_B04,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.0, I=0.0.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0029,BLS_B04E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=1.0, Y=1.5, I=1.3. GPT: X=0.0, Y=0.0, I=0.0.",falsifiable,open-loop,institutional discourse / editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0030,BLS_B05,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.18, I=0.13.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0031,BLS_B05E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=1.5, Y=1.0, I=1.3. GPT: X=0.0, Y=0.33, I=0.23.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0032,BLS_B06,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.36, I=0.26.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0033,BLS_B06E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.5, Y=1.5, I=1.6. GPT: X=0.19, Y=0.38, I=0.3.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0034,BLS_B07,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=-0.16, Y=0.48, I=0.35.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0035,BLS_B07E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.5, Y=1.0, I=0.8. GPT: X=0.0, Y=0.0, I=0.0.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0036,BLS_B08,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.42, I=0.3.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0037,BLS_B08E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.5, Y=1.0, I=0.8. GPT: X=0.18, Y=0.73, I=0.53.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0038,BLS_B09,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.0, I=0.0.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0039,BLS_B09E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.5, Y=1.5, I=1.6. GPT: X=0.0, Y=0.73, I=0.52.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0040,BLS_B10,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=0.0, Y=0.38, I=0.27.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0041,BLS_B10E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=1.0, Y=1.5, I=1.8. GPT: X=0.34, Y=1.02, I=0.76.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0042,BLS_B11,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=moral_framing. INTER-MODEL DIVERGENCE. Gemini: X=0.0, Y=2.5, I=1.8. GPT: X=-0.32, Y=0.97, I=0.72.",falsifiable,open-loop,institutional discourse (unspecified),False,,2026-03-21T00:00:00Z,reviewed
AN_0043,BLS_B11E,0,0,Full text,False,,,,,EE_AUTO,engine,0.85,"Gemini(baseline)=clean; GPT=clean. Agreement. Gemini: X=-1.5, Y=1.5, I=2.1. GPT: X=-0.15, Y=0.43, I=0.32.",falsifiable,open-loop,editorial advocacy,False,,2026-03-21T00:00:00Z,reviewed
AN_0044,ENE_X1,0,382,"WSJ primary reporting on April 20, 2020 WTI negative-price crash. U.S. oil futures plunged below zer…",False,N/A,N/A,N/A,DS_ENE_01,EE_v2,engine,0.8,"Energy Benchmark 1 primary. WSJ April 2020 WTI crash. Gemini: scientism flag (institutional authority cues from S&P Platts, Jefferies, Kpler).",falsifiable_claim_structure,defensive_routine,scientific justification / market analysis,True,scientism,2026-03-24T00:00:00Z,reviewed
AN_0045,ENE_X1E,0,241,"Syndicated wire reconstruction of April 2020 WTI crash. CNN Business, Bloomberg, EIA, Fortune. Repor…",False,N/A,N/A,N/A,DS_ENE_02,EE_v2,engine,0.8,Energy Benchmark 1E reconstruction. CNN/Bloomberg/EIA/Fortune. Both models classify clean.,falsifiable_claim_structure,open_loop_reasoning,journalistic recap / syndicated wire,False,,2026-03-24T00:00:00Z,reviewed
AN_0046,ENE_X2,0,382,WSJ primary reporting on January 2021 Saudi Arabia unilateral 1M b/d production cut. OPEC+ agreement…,False,N/A,N/A,N/A,DS_ENE_03,EE_v2,engine,0.8,"Energy Benchmark 2 primary. WSJ Saudi cut. Stability-leaning rhetoric (collective output limits, market maintenance).",falsifiable_claim_structure,defensive_routine,institutional policy journalism,True,bureaucratic_masking,2026-03-24T00:00:00Z,reviewed
AN_0047,ENE_X2E,0,289,"Syndicated wire reconstruction of Saudi production cut. NPR, CNN Business, Al Jazeera, PBS. Reports …",False,N/A,N/A,N/A,DS_ENE_04,EE_v2,engine,0.8,Energy Benchmark 2E reconstruction. NPR/CNN/AlJazeera/PBS. GPT fires moral_framing (consumer-cost rhetoric); Gemini classifies clean. Gold standard: clean (Gemini baseline). GPT divergence logged.,falsifiable_claim_structure,open_loop_reasoning,journalistic summary / syndicated wire,False,,2026-03-24T00:00:00Z,reviewed
AN_0048,ENE_X3,0,359,FT primary reporting on October 2018 Brent crude rally to $80.93/barrel. 3.7% single-session surge o…,False,N/A,N/A,N/A,DS_ENE_05,EE_v2,engine,0.8,Energy Benchmark 3 primary. FT Brent $80 rally. GPT fires moral_framing (geopolitical conflict language crosses framing_density threshold); Gemini classifies clean with scientism flag.,falsifiable_claim_structure,defensive_routine,geopolitical risk / market analysis,True,scientism,2026-03-24T00:00:00Z,reviewed
AN_0049,ENE_X3E,0,278,"Synthesized reconstruction of 2018 Brent $80 rally. EIA, Wikipedia oil price history, CRS, contempor…",False,N/A,N/A,N/A,DS_ENE_06,EE_v2,engine,0.8,Energy Benchmark 3E reconstruction. EIA/Wikipedia/CRS synthesis. Both models classify clean.,falsifiable_claim_structure,open_loop_reasoning,historical synthesis / institutional recap,False,,2026-03-24T00:00:00Z,reviewed
AN_0050,ENE_X4,0,399,"FT primary analysis of April 2020 negative US oil prices and industry implications. WTI open $18, cl…",False,N/A,N/A,N/A,DS_ENE_07,EE_v2,engine,0.8,Energy Benchmark 4 primary. FT negative-price analysis. Highest disruption density in energy corpus (Gemini X=5.5).,falsifiable_claim_structure,defensive_routine,scientific justification / market analysis,True,scientism,2026-03-24T00:00:00Z,reviewed
AN_0051,ENE_X4E,0,345,"Synthesized reconstruction of April 2020 negative WTI. Bloomberg, CNBC, Fortune, PMC academic. Repor…",False,N/A,N/A,N/A,DS_ENE_08,EE_v2,engine,0.8,"Energy Benchmark 4E reconstruction. Bloomberg/CNBC/Fortune/PMC. Gemini coordinates derived from layer analysis (RATIO extreme, HEAD high, DISRUPTION high → Q2). Both models classify clean.",falsifiable_claim_structure,open_loop_reasoning,informational / market analysis,False,,2026-03-24T00:00:00Z,reviewed
AN_0052,ENE_X5,0,389,FT primary reporting on Nov–Dec 2023 OPEC+ voluntary production cuts. Saudi extending 1M bpd through…,False,N/A,N/A,N/A,DS_ENE_09,EE_v2,engine,0.8,"Energy Benchmark 5 primary. FT OPEC+ voluntary cuts. GPT fires ideological (prescriptive market-management rhetoric crosses normative_density threshold); Gemini classifies clean with bureaucratic_masking. Gemini coordinates derived from layer analysis (LEX/RATIO/ETHOS high, slight STABILITY lean → Q1).",falsifiable_claim_structure,defensive_routine,bureaucratic / institutional reporting,True,bureaucratic_masking,2026-03-24T00:00:00Z,reviewed
AN_0053,ENE_X5E,0,410,"Synthesized reconstruction of April 2023 surprise OPEC+ production cuts. NPR, AP/NPR wire, CNN Busin…",True,Pathos,Appeal to Emotion,Moral Blackmail,DS_ENE_10,EE_v2,engine,0.8,"Energy Benchmark 5E reconstruction. NPR/AP/CNN. Both models classify moral_framing — consumer-cost and war-finance rhetoric activates framing gate. Gemini notes borderline. Gemini coordinates derived from layer analysis (HEART moderate, DISRUPTION high → Q4 Affective-Rupture).",immunizing_stratagem,defensive_routine,political narrative / affective reporting,True,identity_laundering,2026-03-24T00:00:00Z,reviewed
