CROSS-LEXICON OVERLAPS — Terms appearing in multiple signal lexicons,,,
Overlaps are INTENTIONAL: a word that performs two rhetorical functions simultaneously scores in both lexicons. This is not an error — it is signal richness. Source: EE_Comprehensive_Lexicon_Rebuild_v1.xlsx → Overlaps sheet.,,,
Term,Appears In,Rhetorical Justification,Scoring Implication
mandate,LEX + NORMATIVE,Performs multiple rhetorical functions — procedural (LEX) and prescriptive (NORMATIVE),Increments both lexical_density and normative_density (Gate 2)
measure,HEAD + RATIO,Performs multiple rhetorical functions — analytic (HEAD) and quantitative (RATIO),Increments both head_coordinate (pos Y) and ratio_density
measured,HEAD + RATIO,Performs multiple rhetorical functions — analytic (HEAD) and quantitative (RATIO),Increments both head_coordinate (pos Y) and ratio_density
measurement,HEAD + RATIO,Performs multiple rhetorical functions — analytic (HEAD) and quantitative (RATIO),Increments both head_coordinate (pos Y) and ratio_density
methodology,HEAD + LEX,Bureaucratic register (LEX — original) AND analytic method (HEAD — original),Increments both head_coordinate (pos Y) and lexical_density
metrics,LEX + RATIO,Performs multiple rhetorical functions — procedural (LEX) and quantitative (RATIO),Increments both lexical_density and ratio_density
outcome,HEAD + LEX,Bureaucratic deliverable (LEX — original) AND analytic result (HEAD),Increments both head_coordinate (pos Y) and lexical_density
outcomes,HEAD + LEX,Bureaucratic deliverable (LEX — original) AND analytic result (HEAD),Increments both head_coordinate (pos Y) and lexical_density
ratio,HEAD + RATIO,Performs multiple rhetorical functions — analytic (HEAD) and quantitative (RATIO),Increments both head_coordinate (pos Y) and ratio_density
reimbursed,LEX + STABILITY,Procedural action (LEX) AND restoration (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
reimbursement,LEX + STABILITY,Procedural action (LEX) AND restoration (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
remediated,LEX + STABILITY,Procedural action (LEX) AND restoration (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
remediation,LEX + STABILITY,Procedural action (LEX) AND restoration (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
subset,HEAD + RATIO,Performs multiple rhetorical functions — analytic segmentation (HEAD) and proportional framing (RATIO),Increments both head_coordinate (pos Y) and ratio_density
unprecedented,DISRUPTION + PATHOS,Rupture cue (DISRUPTION) AND narrative amplifier (PATHOS),Increments both disruption_coordinate (pos X) and pathos_density
urgent,DISRUPTION + PATHOS,Rupture/crisis cue (DISRUPTION) AND narrative amplifier (PATHOS),Increments both disruption_coordinate (pos X) and pathos_density
urgently,DISRUPTION + PATHOS,Rupture/crisis cue (DISRUPTION) AND narrative amplifier (PATHOS),Increments both disruption_coordinate (pos X) and pathos_density
voluntarily,LEX + STABILITY,Procedural choice (LEX) AND trust/assurance posture (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
voluntary,LEX + STABILITY,Procedural choice (LEX) AND trust/assurance posture (STABILITY),Increments both lexical_density and stability_coordinate (neg X)
vulnerability,DISRUPTION + HEART,Performs multiple rhetorical functions — rupture exposure (DISRUPTION) and emotive threat (HEART),Increments both disruption_coordinate (pos X) and heart_coordinate (neg Y)
