text_id,ratio_density,lexical_density,ethos_density,pathos_density,logos_density,bureaucratic_masking_score,scientism_score,identity_laundering_score,head_coordinate (-10..+10),heart_coordinate (-10..+10),disruption_coordinate (-10..+10),stability_coordinate (-10..+10),amplitude_intensity (0..10),engine_classification
BLS_B06,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B06E,0.06,0.28,0.01,0,0.04,0,0,0,1.5,0,0.5,0,1.6,clean
BLS_B07,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B07E,0.06,0.28,0.01,0,0.04,0,0,0,1,0,0.5,0,0.8,clean
BLS_B08,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B08E,0.06,0.28,0.01,0,0.04,0,0,0,1,0,0.5,0,0.8,clean
BLS_B09,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B09E,0.06,0.28,0.01,0,0.04,0,0,0,1.5,0,0.5,0,1.6,clean
BLS_B10,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B10E,0.06,0.28,0.01,0,0.04,0,0,0,1.5,0,1,0,1.8,clean
BLS_B11,0.06,0.28,0.01,0,0.04,0,0,0,2.5,0,0,0,1.8,clean
BLS_B11E,0.06,0.28,0.01,0,0.04,0,0,0,1.5,0,0,1.5,2.1,clean
ENE_X1,0.04,0.015,0.04,0.01,0.03,0,0.16,0,2.5,0,4,0,3.3,clean
ENE_X1E,0.01,0.015,0.01,0.01,0.03,0,0,0,3,0,3,0,3,clean
ENE_X2,0.04,0.04,0.01,0.01,0.03,0.16,0,0,3.5,0,0,1.5,2.7,clean
ENE_X2E,0.01,0.015,0.01,0.01,0.03,0,0,0,2,0,0,2.5,2.2,clean
ENE_X3,0.04,0.015,0.04,0.01,0.03,0,0.16,0,1,0,4.5,0,3.3,clean
ENE_X3E,0.01,0.015,0.01,0.01,0.03,0,0,0,4,0,2,0,3.1,clean
ENE_X4,0.04,0.015,0.04,0.01,0.03,0,0.16,0,2,0,5.5,0,4.1,clean
ENE_X4E,0.01,0.015,0.01,0.01,0.03,0,0,0,3,0,3.5,0,3.3,clean
ENE_X5,0.04,0.04,0.01,0.01,0.03,0.16,0,0,2.5,0,0,1,1.9,clean
ENE_X5E,0.01,0.015,0.035,0.03,0.03,0,0,0.11,0,2,2.5,0,2.3,moral_framing
