text_id,source_corpus,domain,full_text,language_game_context,head_heart_score (-10..+10),stability_disruption_score (-10..+10),amplitude_intensity (0..10),epistemic_classification,laundering_presence (TRUE/FALSE),laundering_types (list),notes_methodological
SEC_B10,sec_filing,technology,"Search-accessible SEC text confirms the filing as Microsoft’s 2025 Form 10-K. The technical document is the corporation’s formal, legally governed disclosure vehicle.",corporate risk disclosure,3.5,-2.5,3.04,clean,True,bureaucratic_masking,Benchmark 10 technical. Microsoft 10-K cyber risk factors — institutional anchoring.
SEC_B10E,news_interpretation,technology,"Reuters Legal explains how SEC cybersecurity disclosure rules affect issuers and investors. As the outside counterpart to a technical filing, it translates rule structure and emerging practice into a practical explanation of what these disclosures mean and why they matter.",editorial advocacy,2,2.5,2.26,clean,False,,Benchmark 10 editorial. Regulatory-translation explainer. Paired with SEC_B10.
BLS_B01,bls_release,labor_economics,BLS technical announcement: CES employment estimates benchmarked to QCEW unemployment insurance tax records; replacement scope across states/territories and metro areas; specific release schedule for preliminary and final benchmark revisions.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 1 technical. GPT: CLEAN X=0.0/Y=0.08/I=0.06; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~31x on Y.
BLS_B01E,news_interpretation,labor_economics,"September 2025 benchmark revision framed as politically and economically salient following large downward payroll revisions and political attacks on BLS; benchmark anchors payroll estimates to QCEW; estimated revision range ~470,000-740,000 downward.",editorial advocacy / policy defense,-3.5,3,4.6,clean,False,none,"BLS Benchmark 1.5 editorial. GPT: CLEAN X=-0.13/Y=0.0/I=0.09; Gemini: EVASION X=3.0/Y=-3.5/I=4.6. INTER-MODEL DIVERGENCE: GPT=CLEAN, Gemini=EVASION. Gold Standard adopts Gemini classification. CORRECTED 2026-03-25: Gemini re-run resolved surface-token triggering on BLS_B01E; reclassified from evasion to clean. IMA sheet (authoritative) records 21:1 gold standard."
BLS_B02,bls_release,labor_economics,Preliminary benchmark revision for March 2025 (level and percent); defined as difference between two independently derived employment counts; preliminary measure of total error March 2024-March 2025; contributors named; final benchmark with January 2026 Employment Situation release.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 2 technical. GPT: CLEAN X=0.0/Y=0.22/I=0.16; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~11x on Y.
BLS_B02E,news_interpretation,labor_economics,Benchmark revision framed as preliminary; UI-based data may undercount undocumented workers; bank estimates suggest final revision less negative; employment growth likely declined; warns against over-extrapolating from preliminary figure.,institutional discourse / editorial advocacy,1,1,1,clean,False,,BLS Benchmark 2.5 editorial. GPT: CLEAN X=0.0/Y=0.54/I=0.38; Gemini: CLEAN X=1.0/Y=1.0/I=1.0. Models agree (CLEAN).
BLS_B03,bls_release,labor_economics,Preliminary CES benchmark revision amount for March 2025; explains CES/QCEW relationship; official establishment survey estimates not updated at preliminary stage; staged update process described.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 3 technical. GPT: CLEAN X=0.0/Y=0.0/I=0.0; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression N/A on Y.
BLS_B03E,news_interpretation,labor_economics,Denies BLS data are rigged; concedes operational and funding challenges; reframes revisions as reason to inspect statistical practice; positions as third-party defense of BLS credibility amid benchmark-related criticism.,scientific justification / editorial advocacy,-4,3.5,5.3,moral_framing,False,,"BLS Benchmark 3.5 editorial. GPT: CLEAN X=-0.18/Y=0.18/I=0.18; Gemini: MORAL_FRAMING X=3.5/Y=-4.0/I=5.3. INTER-MODEL DIVERGENCE: GPT=CLEAN, Gemini=MORAL_FRAMING. Gold Standard adopts Gemini classification."
BLS_B04,bls_release,labor_economics,Preliminary benchmark revision release schedule; benchmarking replaces CES estimates with census-derived counts; final state and metro revisions with January 2026 Employment Situation release.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 4 technical. GPT: CLEAN X=0.0/Y=0.0/I=0.0; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression N/A on Y.
BLS_B04E,news_interpretation,labor_economics,"Preliminary benchmark estimate of 911,000 reduction in March 2025 nonfarm employment level; framed against broader read of labor market as mostly stable; cooling trend noted in recent months.",institutional discourse / editorial advocacy,1.5,1,1.3,clean,False,,BLS Benchmark 4.5 editorial. GPT: CLEAN X=0.0/Y=0.0/I=0.0; Gemini: CLEAN X=1.0/Y=1.5/I=1.3. Models agree (CLEAN).
BLS_B05,bls_release,labor_economics,Current Employment Statistics Preliminary Benchmark summary page; preliminary benchmark defined as measure of total error in CES employment estimates March 2024-March 2025.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 5 technical. GPT: CLEAN X=0.0/Y=0.18/I=0.13; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~14x on Y.
BLS_B05E,news_interpretation,labor_economics,"Likely downward jobs revision (911,000 fewer over 12 months through March); implies lower average monthly gain (~71,000 vs 147,000); partial mechanism attribution to birth-death model.",editorial advocacy,1,1.5,1.3,clean,False,,BLS Benchmark 5.5 editorial. GPT: CLEAN X=0.0/Y=0.33/I=0.23; Gemini: CLEAN X=1.5/Y=1.0/I=1.3. Models agree (CLEAN).
BLS_B06,bls_release,labor_economics,Benchmark article explains annual revision process; incorporates March 2025 benchmark into official CES estimates; detailed technical treatment of final benchmark revision and related methodology.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 6 technical. GPT: CLEAN X=0.0/Y=0.36/I=0.26; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~7x on Y.
BLS_B06E,news_interpretation,labor_economics,"Final downward revision to employment growth through March 2025 (862,000 jobs); total nonfarm employment for 2025 revised down (to 181,000 from 584,000); concise interpretation of employment report revision.",editorial advocacy,1.5,0.5,1.6,clean,False,,BLS Benchmark 6.5 editorial. GPT: CLEAN X=0.19/Y=0.38/I=0.3; Gemini: CLEAN X=0.5/Y=1.5/I=1.6. Models agree (CLEAN).
BLS_B07,bls_release,labor_economics,August 2025 Employment Situation release as official labor-market report preceding September benchmark announcement; official establishment estimates not updated at preliminary stage.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 7 technical. GPT: CLEAN X=-0.16/Y=0.48/I=0.35; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~5x on Y.
BLS_B07E,news_interpretation,labor_economics,"Labor conditions framed as slowing (near 4-year high unemployment, stall speed); low monthly payroll gain (22,000); June revised negative; softening view supported; raises rate-cut expectations.",editorial advocacy,1,0.5,0.8,clean,False,,BLS Benchmark 7.5 editorial. GPT: CLEAN X=0.0/Y=0.0/I=0.0; Gemini: CLEAN X=0.5/Y=1.0/I=0.8. Models agree (CLEAN).
BLS_B08,bls_release,labor_economics,"August 2025 JOLTS tables (SA/NSA job openings, hires, separations); 7.235 million job openings (NSA); annual revision convention tied to January release.",institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 8 technical. GPT: CLEAN X=0.0/Y=0.42/I=0.3; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~6x on Y.
BLS_B08E,news_interpretation,labor_economics,JOLTS picture framed as openings up only moderately while hiring declined; economists expect Fed to weigh labor-market conditions; survey expectations for next payroll release relayed.,editorial advocacy,1,0.5,0.8,clean,False,,BLS Benchmark 8.5 editorial. GPT: CLEAN X=0.18/Y=0.73/I=0.53; Gemini: CLEAN X=0.5/Y=1.0/I=0.8. Models agree (CLEAN).
BLS_B09,bls_release,labor_economics,"Compensation costs for civilian workers rose 0.7% in 2025 Q4; 12-month changes through December 2025: compensation +3.4%, wages and salaries +3.3%, benefits +3.4%.",institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 9 technical. GPT: CLEAN X=0.0/Y=0.0/I=0.0; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression N/A on Y.
BLS_B09E,news_interpretation,labor_economics,ECI presented as preferred policy-facing measure adjusting for composition; softer labor conditions linked to easing wage growth; release translated into inflation-and-policy narrative.,editorial advocacy,1.5,0.5,1.6,clean,False,,BLS Benchmark 9.5 editorial. GPT: CLEAN X=0.0/Y=0.73/I=0.52; Gemini: CLEAN X=0.5/Y=1.5/I=1.6. Models agree (CLEAN).
BLS_B10,bls_release,labor_economics,BLS modified ARIMA-based component of CES net birth-death model starting with preliminary January 2026 employment estimates; incorporates current sample information.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 10 technical. GPT: CLEAN X=0.0/Y=0.38/I=0.27; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~7x on Y.
BLS_B10E,news_interpretation,labor_economics,"Benchmark result of 862,000 fewer jobs over 12 months through March 2025; BLS updated birth-death model using current sample information; interpreted as evidence that employment gains were concentrated and turnaround incomplete.",editorial advocacy,1.5,1,1.8,clean,False,,BLS Benchmark 10.5 editorial. GPT: CLEAN X=0.34/Y=1.02/I=0.76; Gemini: CLEAN X=1.0/Y=1.5/I=1.8. Models agree (CLEAN).
BLS_B11,bls_release,labor_economics,BLS release treated as recurring framework for reporting labor conditions; framed as baseline for judging disputes about public-data integrity and statistical independence.,institutional discourse (unspecified),2.5,0,1.8,clean,False,,BLS Benchmark 11 technical. GPT: CLEAN X=-0.32/Y=0.97/I=0.72; Gemini: CLEAN X=0.0/Y=2.5/I=1.8. Coordinate compression ~3x on Y.
BLS_B11E,news_interpretation,labor_economics,Private-sector data examined as potential replacement for official statistics amid BLS leadership controversy; private data valuable for speed/specificity but not representative or comprehensive enough to substitute.,editorial advocacy,1.5,-1.5,2.1,clean,False,,BLS Benchmark 11.5 editorial. GPT: CLEAN X=-0.15/Y=0.43/I=0.32; Gemini: CLEAN X=-1.5/Y=1.5/I=2.1. Models agree (CLEAN).
ENE_X1,energy_benchmark,energy_commodity,"WSJ primary reporting on April 20, 2020 WTI negative-price crash. U.S. oil futures plunged below zero for the first time, closing at -$37.63/barrel. Details storage capacity exhaustion at Cushing, Oklahoma; VLCC lease rate surges ($29K→$100K/day); contango-driven floating storage; May contract expiration mechanics. Sources: S&P Global Platts, Jefferies, Kpler, Bernstein Research.",scientific justification / market analysis,2.5,4,3.3,clean,True,scientism,"Energy Benchmark 1 primary. WSJ April 2020 WTI crash. Gemini: scientism flag (institutional authority cues from S&P Platts, Jefferies, Kpler)."
ENE_X1E,energy_benchmark,energy_commodity,"Syndicated wire reconstruction of April 2020 WTI crash. CNN Business, Bloomberg, EIA, Fortune. Reports -$37.63 WTI, Cushing at 83% capacity (27M barrel increase Mar 13–May 1). Frames as chronic oversupply overwhelming storage infrastructure.",journalistic recap / syndicated wire,3,3,3,clean,False,none,Energy Benchmark 1E reconstruction. CNN/Bloomberg/EIA/Fortune. Both models classify clean.
ENE_X2,energy_benchmark,energy_commodity,WSJ primary reporting on January 2021 Saudi Arabia unilateral 1M b/d production cut. OPEC+ agreement to hold collective output flat followed by Saudi surprise additional unilateral reduction. WTI crossed $50 first time since pre-COVID. Russia/Kazakhstan 75K b/d face-saving concession. Rystad Energy shale projections $62B. JP Morgan: short-term market-share cost vs long-term gain.,institutional policy journalism,3.5,-1.5,2.7,clean,True,bureaucratic_masking,"Energy Benchmark 2 primary. WSJ Saudi cut. Stability-leaning rhetoric (collective output limits, market maintenance)."
ENE_X2E,energy_benchmark,energy_commodity,"Syndicated wire reconstruction of Saudi production cut. NPR, CNN Business, Al Jazeera, PBS. Reports Saudi cut to 9M bpd, OPEC+ extension through 2024, IMF budget-balance threshold $81/barrel Brent. Frames cuts through consumer-cost impact, budget deficit, China COVID recovery uncertainty.",journalistic summary / syndicated wire,2,-2.5,2.2,clean,False,none,Energy Benchmark 2E reconstruction. NPR/CNN/AlJazeera/PBS. GPT fires moral_framing (consumer-cost rhetoric); Gemini classifies clean. Gold standard: clean (Gemini baseline). GPT divergence logged.
ENE_X3,energy_benchmark,energy_commodity,FT primary reporting on October 2018 Brent crude rally to $80.93/barrel. 3.7% single-session surge on Middle East escalation risk (Israeli strikes on Iranian oil) and Hurricane Milton Gulf supply disruption. Iran 1.7M bpd from Kharg Island. Goldman Sachs Daan Struyven: $85 Brent under 1M bpd disruption. SPR depletion. ICE/SocGen hedge fund positioning data.,geopolitical risk / market analysis,1,4.5,3.3,clean,True,scientism,Energy Benchmark 3 primary. FT Brent $80 rally. GPT fires moral_framing (geopolitical conflict language crosses framing_density threshold); Gemini classifies clean with scientism flag.
ENE_X3E,energy_benchmark,energy_commodity,"Synthesized reconstruction of 2018 Brent $80 rally. EIA, Wikipedia oil price history, CRS, contemporaneous reporting. Venezuela >1M bpd decline from 2016. Trump Iran deal withdrawal May 2018. OPEC increase June 2018. Q4 2018 reversal on demand concerns and US sanctions waivers.",historical synthesis / institutional recap,4,2,3.1,clean,False,none,Energy Benchmark 3E reconstruction. EIA/Wikipedia/CRS synthesis. Both models classify clean.
ENE_X4,energy_benchmark,energy_commodity,"FT primary analysis of April 2020 negative US oil prices and industry implications. WTI open $18, close -$40/barrel. Cushing 72% of 76.1M barrel capacity April 10. 2M bpd domestic oversupply. CME Group: negative settlement designed price convergence. Wood Mackenzie, Clearview Energy Partners pro-rationing analysis. Contango profit mechanics. Knock-on effects to WTI-linked Canadian/Mexican grades.",scientific justification / market analysis,2,5.5,4.1,clean,True,scientism,Energy Benchmark 4 primary. FT negative-price analysis. Highest disruption density in energy corpus (Gemini X=5.5).
ENE_X4E,energy_benchmark,energy_commodity,"Synthesized reconstruction of April 2020 negative WTI. Bloomberg, CNBC, Fortune, PMC academic. Reports -$40/barrel WTI, Saudi-Russian price war amplification, April demand deficit 29M bpd YoY. Rystad Energy shut-in estimates 1.9M bpd. Alberta/Venezuela/Iraq regional impact. Brent resilience via North Sea seaborne storage vs landlocked Cushing.",informational / market analysis,3,3.5,3.3,clean,False,none,"Energy Benchmark 4E reconstruction. Bloomberg/CNBC/Fortune/PMC. Gemini coordinates derived from layer analysis (RATIO extreme, HEAD high, DISRUPTION high → Q2). Both models classify clean."
ENE_X5,energy_benchmark,energy_commodity,"FT primary reporting on Nov–Dec 2023 OPEC+ voluntary production cuts. Saudi extending 1M bpd through Q1 2024, Russia deepening to 500K bpd, total >2M bpd (~2% world supply). Unusual secretariat bypass (individual member announcements). Brent ~$80 vs $98 September high. Eurasia Group Raad Alkadiri: $80 floor defense. African member baseline reductions. Israel-Hamas geopolitical backdrop.",bureaucratic / institutional reporting,2.5,-1,1.9,clean,True,bureaucratic_masking,"Energy Benchmark 5 primary. FT OPEC+ voluntary cuts. GPT fires ideological (prescriptive market-management rhetoric crosses normative_density threshold); Gemini classifies clean with bureaucratic_masking. Gemini coordinates derived from layer analysis (LEX/RATIO/ETHOS high, slight STABILITY lean → Q1)."
ENE_X5E,energy_benchmark,energy_commodity,"Synthesized reconstruction of April 2023 surprise OPEC+ production cuts. NPR, AP/NPR wire, CNN Business. Saudi-led 1.15M bpd surprise cut starting May 2023. Consumer-cost framing (Clearview Energy Partners: $0.26/gallon gasoline increase). Putin war-financing (""fill Putin's coffers""). Biden frustration (""infuriated the Biden administration""). US-Saudi alliance strain. Structures oil cut as geopolitical act.",political narrative / affective reporting,-2,2.5,2.3,moral_framing,True,identity_laundering,"Energy Benchmark 5E reconstruction. NPR/AP/CNN. Both models classify moral_framing — consumer-cost and war-finance rhetoric activates framing gate. Gemini notes borderline. Gemini coordinates derived from layer analysis (HEART moderate, DISRUPTION high → Q4 Affective-Rupture)."
SYN_01,synthetic,compliance,"That is beside the point. Obviously, the committee's findings speak for themselves and no serious person would question our methodology. Let's move on to the real issue, which is that our compliance record is beyond question.",policy defense,2,-3,2.55,evasion,False,,"Synthetic. EVASION GATE TEST. 6 evasion cues → classification=evasion. No laundering → open-loop per current spec (Argyris derives only from laundering, not classification)."
SYN_02,synthetic,compliance,"All institutions must adopt this framework immediately. The crisis is systemic and fundamentally requires universal compliance. No responsible organization should ignore these obligations, which are inherently necessary for the stability of the entire system.",policy defense,3,-4,3.54,ideological,True,bureaucratic_masking,Synthetic. IDEOLOGICAL GATE TEST. normative_density > 0.05 AND falsifiability_low=TRUE → classification=ideological.
SYN_03,synthetic,politics,The corrupt leadership of the firm orchestrated a shameful betrayal of shareholders. Their wicked disregard for fiduciary duty represents an abomination that righteous regulators must condemn.,polemic,-5,4,4.53,moral_framing,False,,Synthetic. MORAL FRAMING GATE TEST. framing_density > 0.02 → classification=moral_framing. Only Q4 text in corpus.
SYN_04,synthetic,compliance,"The governance committee completed its quarterly review of the compliance framework and implementation roadmap. Stakeholder deliverables met established protocol metrics, and outcomes aligned with the strategic initiative. Risk assessment data confirm that operational parameters remain within the projected benchmark range.",corporate risk disclosure,4,-3.5,3.76,clean,True,bureaucratic_masking,Synthetic. CLEAN + BUREAUCRATIC MASKING. Models baseline SEC technical register. Tests clean classification with laundering detection.
SYN_05,synthetic,finance,The company's share price rose four percent following the disclosure. Analysts noted the filing addressed two of three outstanding concerns from the previous quarter. The remaining question involves the timeline for restoring full reporting status.,editorial advocacy,2,1.5,1.77,clean,False,,Synthetic. CLEAN + NO LAUNDERING. True open-loop baseline. Only benchmark text with zero laundering flags and clean classification.
SYN_06,synthetic,science_communication,"Leading experts at the agency confirm that our evidence-based compliance framework delivers measurable stakeholder outcomes. The peer-reviewed methodology, validated by distinguished researchers at Harvard, addresses alarming risks to institutional stability. The data show that no credible authority disputes the committee's findings.",scientific justification,3.5,-3.5,3.5,clean,True,scientism; bureaucratic_masking; identity_laundering,Synthetic. TRIPLE LAUNDERING TEST. All three flags fire. Clean classification but full authority-shielding deployment.
META,,,Epistemic Audit Signature: Fallacy Classification Gold Standard (Epistemic Benchmark v1.2) — SEC Benchmark Corpus (20 docs) integrated 2026-03-17. BLS Validation Corpus (22 docs) integrated 2026-03-21. Inter-model agreement (Cohen's kappa + F1) computed 2026-03-21 and stored in Inter_Model_Agreement sheet.,See accompanying DOCX for full spec. 20 SEC benchmark documents added from GPT/Gemini cross-validation.,,,,,,,
